,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
236,수리사(경기),0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
237,수리치골 성지,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
238,수성당,13.0,0.0,20.0,225.0,64.0,211.0,270.0,55.0,222.0,5.0,0
239,수승대,1.0,2.0,20.0,28.0,38.0,1.0,29.0,2.0,4.0,6.0,62
240,수어장대,1.0,1.0,20.0,22.0,2.0,3.0,87.0,2.0,18.0,10.0,212
241,수원 화성,62.0,7.0,20.0,237.0,237.0,220.0,285.0,64.0,237.0,68.0,2157
242,수원화성박물관,28.0,10.0,21.0,237.0,162.0,217.0,285.0,68.0,237.0,29.0,481
243,수종사,1.0,2.0,3.0,44.0,3.0,0.0,19.0,1.0,6.0,10.0,1047
244,숙정문,7.0,10.0,0.0,237.0,98.0,0.0,285.0,25.0,237.0,29.0,71
245,순창고추장민속마을,0.0,1.0,2.0,41.0,3.0,0.0,18.0,0.0,3.0,3.0,122
246,순천 낙안읍성,0.0,2.0,52.0,14.0,50.0,1.0,32.0,0.0,5.0,8.0,2078
247,숭례문,21.0,20.0,60.0,237.0,236.0,217.0,285.0,239.0,237.0,103.0,1126
248,숭인원,23.0,0.0,4.0,240.0,125.0,222.0,285.0,72.0,237.0,92.0,18
249,승동교회,25.0,43.0,60.0,237.0,237.0,226.0,285.0,240.0,237.0,164.0,3
250,시인이상화고택,8.0,9.0,40.0,237.0,146.0,219.0,285.0,238.0,237.0,91.0,372
251,신라역사과학관,0.0,1.0,0.0,21.0,61.0,1.0,35.0,0.0,11.0,1.0,61
252,신흥사,1.0,3.0,4.0,3.0,3.0,0.0,20.0,1.0,5.0,1.0,545
253,심곡서원,28.0,0.0,3.0,240.0,3.0,59.0,285.0,7.0,237.0,1.0,98
254,심청한옥마을,1.0,6.0,0.0,6.0,12.0,0.0,1.0,49.0,3.0,3.0,131
255,쌍계사(하동),0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158
256,쌍봉사(화순),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134
257,아라리촌,2.0,0.0,0.0,220.0,14.0,22.0,186.0,0.0,36.0,5.0,319
258,아산 공세리성당,0.0,0.0,11.0,40.0,2.0,2.0,31.0,0.0,4.0,0.0,1750
259,아산 맹씨 행단,0.0,0.0,4.0,86.0,0.0,4.0,29.0,0.0,5.0,3.0,132
260,안동 임청각,2.0,5.0,20.0,240.0,84.0,69.0,285.0,29.0,169.0,3.0,48
261,안동 하회마을 ,1.0,3.0,8.0,19.0,30.0,0.0,24.0,0.0,5.0,6.0,2503
262,안동민속촌,2.0,3.0,20.0,12.0,5.0,0.0,23.0,3.0,10.0,8.0,91
263,안면암(태안),0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818
264,안일사,10.0,1.0,27.0,240.0,27.0,75.0,285.0,97.0,237.0,17.0,42
265,애은당고택,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
266,양림동 선교사 묘지,10.0,3.0,23.0,225.0,150.0,214.0,270.0,133.0,222.0,13.0,6
267,양림역사문화마을,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
268,양주 온릉 ,2.0,1.0,20.0,60.0,21.0,0.0,66.0,3.0,14.0,4.0,32
269,양주 회암사지,1.0,0.0,5.0,99.0,3.0,0.0,30.0,3.0,7.0,0.0,176
270,양평 구둔역,0.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,711
271,여수 선소유적,8.0,0.0,20.0,204.0,39.0,176.0,243.0,0.0,193.0,5.0,42
272,여수 진남관,7.0,8.0,10.0,237.0,188.0,164.0,285.0,34.0,224.0,10.0,649
273,여주 고달사지,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,127
274,여주 영릉,3.0,0.0,0.0,65.0,3.0,0.0,20.0,1.0,8.0,4.0,791
275,여주신륵사,2.0,3.0,20.0,228.0,23.0,7.0,133.0,3.0,39.0,9.0,1531
276,연미정,0.0,2.0,20.0,67.0,98.0,19.0,123.0,3.0,57.0,5.0,93
277,연천 경순왕릉,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,72
278,연천 호로고루,1.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,299
279,연천전곡리유적토층전시관,4.0,3.0,20.0,240.0,35.0,30.0,271.0,18.0,63.0,2.0,4
280,영국사,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,229
281,영남루,3.0,1.0,20.0,240.0,23.0,88.0,243.0,9.0,144.0,29.0,1017
282,영양 두들마을,2.0,0.0,20.0,10.0,5.0,2.0,13.0,1.0,3.0,2.0,21
283,영월 장릉,1.0,3.0,2.0,140.0,8.0,7.0,100.0,3.0,14.0,5.0,661
284,영주 무섬마을,0.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,2.0,1.0,1080
285,영주암(부산),0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
286,영휘원,19.0,0.0,24.0,240.0,119.0,222.0,285.0,70.0,237.0,91.0,127
287,예천 삼강주막,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,128
288,예천 초간정,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,133
289,오목대와 이목대,10.0,6.0,2.0,238.0,237.0,175.0,285.0,44.0,237.0,14.0,1104
290,오산 독산성과 세마대지,3.0,0.0,21.0,218.0,1.0,6.0,110.0,7.0,27.0,0.0,249
291,오어사,0.0,1.0,5.0,1.0,3.0,0.0,13.0,2.0,1.0,1.0,591
292,오웬기념각,0.0,0.0,26.0,0.0,189.0,0.0,285.0,0.0,237.0,0.0,41
293,오죽헌,0.0,3.0,23.0,240.0,28.0,81.0,285.0,4.0,130.0,0.0,3165
294,옥룡사지,1.0,2.0,4.0,8.0,14.0,0.0,13.0,23.0,1.0,8.0,105
295,옥천암,19.0,30.0,43.0,237.0,17.0,62.0,285.0,235.0,228.0,37.0,57
296,옻골마을,0.0,1.0,1.0,78.0,3.0,0.0,16.0,2.0,3.0,0.0,190
297,와우정사,0.0,0.0,20.0,44.0,6.0,0.0,7.0,0.0,5.0,0.0,260
298,완주송광사대웅전,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
299,왕궁리유적 ,1.0,1.0,4.0,69.0,6.0,0.0,24.0,2.0,5.0,7.0,291
300,왕인박사마을,0.0,3.0,10.0,17.0,23.0,0.0,19.0,4.0,4.0,3.0,0
301,외암민속마을,0.0,0.0,3.0,42.0,9.0,3.0,37.0,0.0,7.0,6.0,112
302,요선정,0.0,0.0,17.0,6.0,21.0,0.0,6.0,0.0,1.0,0.0,129
303,용계정,0.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,19
304,용문사,0.0,5.0,7.0,16.0,27.0,1.0,21.0,0.0,10.0,8.0,1502
305,용암사,0.0,0.0,17.0,6.0,3.0,0.0,4.0,0.0,3.0,0.0,9
306,용암서원,1.0,0.0,15.0,12.0,1.0,1.0,13.0,1.0,1.0,2.0,5
307,용연사(대구),0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
308,용주사(화성),0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
309,용흥궁,8.0,3.0,0.0,240.0,18.0,36.0,285.0,11.0,87.0,0.0,233
310,우암사적공원,14.0,0.0,4.0,240.0,59.0,96.0,285.0,0.0,215.0,5.0,335
311,운림산방,1.0,0.0,5.0,8.0,5.0,0.0,6.0,0.0,1.0,3.0,467
312,운문사,0.0,2.0,0.0,16.0,84.0,0.0,24.0,2.0,5.0,6.0,1502
313,운주산성,0.0,0.0,20.0,6.0,1.0,0.0,5.0,0.0,1.0,1.0,23
314,운현궁,21.0,43.0,60.0,237.0,237.0,228.0,285.0,237.0,237.0,150.0,1205
315,울주 천전리 각석,1.0,1.0,4.0,2.0,6.0,0.0,0.0,1.0,0.0,3.0,0
316,울진 평해황씨 해월종택,0.0,0.0,5.0,3.0,9.0,0.0,2.0,0.0,1.0,0.0,3
317,월봉서원,0.0,0.0,40.0,60.0,0.0,0.0,26.0,0.0,4.0,2.0,89
318,월봉서원,0.0,0.0,40.0,60.0,0.0,0.0,26.0,0.0,4.0,2.0,0
319,월정리역,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
320,월정사·월정사 전나무숲,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108
321,월화원,29.0,1.0,21.0,240.0,121.0,214.0,285.0,42.0,237.0,21.0,666
322,육신사,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,2.0,161
323,융건릉,8.0,2.0,20.0,240.0,5.0,18.0,285.0,5.0,80.0,0.0,660
324,은해사,0.0,1.0,20.0,6.0,5.0,0.0,18.0,0.0,3.0,0.0,379
325,의릉,22.0,1.0,56.0,240.0,65.0,226.0,285.0,49.0,237.0,79.0,129
326,의성 금성산 고분군,0.0,0.0,20.0,21.0,1.0,0.0,8.0,3.0,3.0,1.0,38
327,이성산성,2.0,0.0,20.0,240.0,0.0,4.0,132.0,7.0,41.0,6.0,0
328,이영춘가옥,2.0,0.0,20.0,160.0,1.0,8.0,93.0,2.0,22.0,2.0,80
329,이천도예마을,1.0,0.0,21.0,220.0,3.0,3.0,93.0,2.0,18.0,2.0,54
330,익산 미륵사지,1.0,0.0,20.0,12.0,3.0,0.0,29.0,1.0,9.0,5.0,581
331,인천일본제58은행지점,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
332,인헌왕후,12.0,0.0,2.0,240.0,16.0,134.0,285.0,0.0,226.0,31.0,0
333,임진각관광지평화누리자유의다리,0.0,5.0,21.0,10.0,3.0,0.0,10.0,1.0,5.0,5.0,48
334,작천정계곡,13.0,1.0,20.0,240.0,79.0,67.0,285.0,0.0,107.0,5.0,240
335,장성 입암산성,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,20
336,장육사,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
337,장흥 회령진성,1.0,0.0,2.0,44.0,6.0,2.0,33.0,0.0,5.0,2.0,17
338,적상산사고지,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,18
339,적성산성,1.0,0.0,20.0,20.0,3.0,0.0,13.0,2.0,5.0,6.0,43
340,전구형왕릉,0.0,0.0,20.0,17.0,3.0,2.0,16.0,0.0,2.0,3.0,115
341,전남 담양 창평 ,0.0,0.0,20.0,65.0,12.0,1.0,43.0,1.0,14.0,2.0,17
342,전등사,1.0,1.0,20.0,101.0,12.0,6.0,88.0,3.0,30.0,3.0,1913
343,전주 풍패지관,10.0,4.0,3.0,238.0,237.0,192.0,285.0,45.0,237.0,16.0,88
344,전주전동성당,6.0,6.0,20.0,238.0,236.0,163.0,285.0,44.0,237.0,13.0,3092
345,전주한옥마을 ,14.0,5.0,17.0,238.0,237.0,182.0,285.0,45.0,237.0,18.0,94
346,전주향교,6.0,6.0,0.0,238.0,237.0,160.0,285.0,41.0,237.0,14.0,924
347,정릉,21.0,6.0,48.0,238.0,64.0,228.0,285.0,62.0,237.0,65.0,440
348,정몽주 동상,24.0,5.0,53.0,237.0,237.0,227.0,285.0,121.0,237.0,55.0,6
349,정북동 토성,1.0,0.0,2.0,88.0,1.0,0.0,2.0,0.0,2.0,3.0,555
350,정암사,2.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,300
351,정읍 피향정,0.0,0.0,2.0,53.0,1.0,2.0,31.0,0.0,5.0,2.0,102
352,정읍화호리구일본인 농장 가옥,0.0,0.0,20.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0,3
353,정혜사,0.0,1.0,11.0,3.0,12.0,0.0,12.0,1.0,3.0,3.0,1
354,제2땅굴(철원),0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
355,제3땅굴,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,128
356,제주 삼성혈,6.0,0.0,20.0,240.0,188.0,213.0,285.0,0.0,253.0,3.0,760
357,제주민속촌,1.0,3.0,0.0,92.0,50.0,24.0,173.0,5.0,42.0,5.0,1310
358,조계사,27.0,43.0,60.0,237.0,236.0,225.0,285.0,237.0,237.0,152.0,1629
359,종묘 ,23.0,43.0,60.0,237.0,236.0,226.0,285.0,237.0,237.0,169.0,1463
360,죽서루,7.0,2.0,20.0,240.0,34.0,77.0,285.0,7.0,100.0,0.0,515
361,죽주산성,1.0,0.0,5.0,77.0,7.0,8.0,61.0,3.0,9.0,0.0,116
362,증심사,0.0,1.0,9.0,67.0,0.0,0.0,24.0,2.0,8.0,7.0,239
363,직지사,0.0,2.0,14.0,22.0,11.0,0.0,41.0,3.0,12.0,1.0,1532
364,진주성,13.0,5.0,20.0,240.0,180.0,205.0,285.0,57.0,237.0,6.0,1978
365,진천 농다리,0.0,1.0,20.0,5.0,1.0,0.0,6.0,0.0,1.0,2.0,1122
366,창경궁,20.0,34.0,60.0,237.0,237.0,224.0,285.0,237.0,237.0,145.0,4331
367,창덕궁과 후원 ,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391
368,창원정씨종가,0.0,0.0,20.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0
369,창의문(자하문),0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
370,처용암,1.0,0.0,0.0,24.0,0.0,0.0,5.0,0.0,1.0,1.0,32
371,척주동해비 및 평수토찬비,8.0,2.0,20.0,240.0,53.0,45.0,285.0,9.0,66.0,0.0,14
372,척판암(부산),0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
373,천마총,4.0,5.0,0.0,237.0,185.0,114.0,285.0,47.0,237.0,2.0,456
374,천안 유관순 열사 유적,1.0,0.0,2.0,110.0,3.0,10.0,112.0,0.0,17.0,4.0,108
375,천왕사,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,329
376,천은사,0.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,84
377,천진암 성지,0.0,0.0,2.0,5.0,8.0,0.0,4.0,0.0,3.0,8.0,0
378,천학정/문암포구,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
379,철암탄광역사촌,0.0,1.0,20.0,44.0,2.0,4.0,24.0,8.0,3.0,0.0,227
380,철원 평화전망대,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
381,청간정,0.0,0.0,20.0,53.0,123.0,7.0,62.0,1.0,18.0,11.0,493
382,청량사(봉화),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388
383,청령포,5.0,1.0,20.0,90.0,11.0,6.0,74.0,5.0,18.0,5.0,1274
384,청룡사(충주),0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
385,청송 송소고택,0.0,0.0,0.0,10.0,8.0,0.0,2.0,0.0,1.0,1.0,262
386,청암사(김천),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
387,청양 다락골 줄무덤 성지,0.0,0.0,20.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0
388,청와대사랑채,24.0,36.0,0.0,237.0,237.0,228.0,285.0,192.0,237.0,89.0,1190
389,청주 상당산성,1.0,0.0,8.0,8.0,1.0,0.0,42.0,5.0,8.0,3.0,1054
390,청평사,0.0,2.0,1.0,1.0,2.0,0.0,7.0,1.0,2.0,2.0,976
391,청풍문화재단지,1.0,1.0,2.0,17.0,20.0,3.0,38.0,3.0,5.0,3.0,948
392,촉석루,10.0,5.0,20.0,240.0,176.0,211.0,285.0,57.0,237.0,4.0,692
393,최참판댁,1.0,0.0,3.0,33.0,5.0,1.0,15.0,0.0,7.0,3.0,1238
394,추사고택,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380
395,추사김정희선생고택,1.0,0.0,2.0,12.0,1.0,0.0,8.0,0.0,1.0,2.0,380
396,충렬사,2.0,0.0,40.0,92.0,26.0,4.0,100.0,0.0,22.0,0.0,4
397,충렬사,2.0,0.0,40.0,92.0,26.0,4.0,100.0,0.0,22.0,0.0,4
398,충의사(예산),0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
399,충주 미륵대원지,0.0,0.0,5.0,3.0,12.0,0.0,4.0,0.0,0.0,0.0,101
400,칠불사,0.0,0.0,3.0,2.0,14.0,0.0,5.0,0.0,1.0,0.0,129
401,칠장사,0.0,1.0,12.0,5.0,2.0,0.0,6.0,0.0,2.0,0.0,315
402,칠탄서원,0.0,0.0,3.0,18.0,2.0,0.0,13.0,1.0,4.0,2.0,0
403,캠프 그리브스,0.0,5.0,21.0,14.0,3.0,0.0,7.0,1.0,5.0,5.0,110
404,탄금대공원,8.0,3.0,8.0,240.0,21.0,13.0,112.0,5.0,45.0,1.0,90
405,태릉,8.0,1.0,39.0,240.0,5.0,42.0,285.0,44.0,159.0,20.0,231
406,태백산 천제단,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
407,태안사,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156
408,태종사,5.0,0.0,20.0,240.0,1.0,4.0,45.0,0.0,14.0,2.0,1
409,통도사,2.0,2.0,20.0,26.0,14.0,6.0,57.0,0.0,18.0,5.0,3777
410,통영 삼도수군통제영,4.0,0.0,20.0,240.0,162.0,182.0,285.0,0.0,237.0,8.0,119
411,통영 세병관,5.0,6.0,20.0,237.0,160.0,179.0,285.0,37.0,237.0,8.0,291
412,파주 삼릉 ,2.0,0.0,20.0,174.0,5.0,3.0,34.0,0.0,5.0,1.0,217
413,파주 임진각,0.0,5.0,3.0,12.0,3.0,0.0,16.0,1.0,7.0,3.0,228
414,파주이이유적,0.0,0.0,20.0,147.0,7.0,10.0,78.0,3.0,16.0,0.0,222
415,판문점,32.0,41.0,52.0,237.0,236.0,221.0,285.0,236.0,237.0,161.0,2078
416,팔용산 돌탑,10.0,0.0,0.0,240.0,117.0,210.0,243.0,25.0,195.0,0.0,0
417,포석정,30.0,3.0,58.0,240.0,66.0,229.0,285.0,185.0,237.0,42.0,224
418,풍남문,5.0,6.0,20.0,238.0,237.0,161.0,285.0,44.0,237.0,13.0,677
419,풍수원성당,0.0,1.0,16.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,589
420,필암서원 ,0.0,0.0,4.0,14.0,2.0,0.0,7.0,0.0,3.0,2.0,142
421,한국민속촌,22.0,3.0,23.0,240.0,18.0,58.0,285.0,8.0,203.0,2.0,5261
422,한밤마을 돌담길,1.0,1.0,16.0,12.0,8.0,1.0,23.0,0.0,5.0,1.0,225
423,합덕성당,3.0,0.0,20.0,138.0,4.0,7.0,67.0,0.0,5.0,1.0,330
424,항파두리 항몽 유적,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450
425,해동 용궁사,1.0,1.0,22.0,240.0,84.0,7.0,176.0,4.0,75.0,0.0,6667
426,해인사,0.0,1.0,0.0,19.0,24.0,0.0,31.0,0.0,4.0,8.0,1944
427,해저터널,6.0,8.0,20.0,237.0,111.0,81.0,285.0,26.0,169.0,5.0,689
428,행주산성,6.0,1.0,14.0,240.0,3.0,17.0,214.0,10.0,79.0,6.0,996
429,향일암(여수),0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
430,허균.허난설헌생가터,5.0,5.0,20.0,189.0,165.0,13.0,233.0,9.0,94.0,0.0,312
431,현충사,0.0,0.0,20.0,46.0,1.0,1.0,31.0,1.0,5.0,5.0,1626
432,홍법사(부산),0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
433,홍유릉,2.0,1.0,0.0,240.0,3.0,14.0,157.0,10.0,34.0,2.0,0
434,화성정용채가옥,0.0,2.0,20.0,21.0,27.0,0.0,18.0,0.0,4.0,3.0,22
435,화순고인돌유적 ,0.0,0.0,0.0,21.0,3.0,0.0,10.0,1.0,3.0,2.0,98
436,화엄사,0.0,2.0,4.0,2.0,8.0,3.0,17.0,0.0,5.0,2.0,1800
437,화진포의 성(김일성별장),0.0,3.0,8.0,8.0,23.0,2.0,4.0,1.0,1.0,5.0,397
438,황순원문학촌 소나기마을,0.0,1.0,0.0,28.0,39.0,0.0,9.0,0.0,14.0,8.0,433
439,황희선생유적지,2.0,1.0,0.0,28.0,2.0,0.0,19.0,0.0,6.0,0.0,74
440,휴휴암,1.0,2.0,0.0,17.0,66.0,8.0,29.0,0.0,21.0,2.0,1707
441,흥국사(여수),0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
442,동국사(군산),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441
443,방화수류정(동북각루),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030
444,대견사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
445,고산 윤선도 유적지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
446,수타사(홍천),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850
447,세연정(완도),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
448,개평한옥마을,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
449,신숭겸장군유적,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
450,봉정암(인제),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90
451,건봉사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178
452,관음사(창녕),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
453,백련사(무주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113
454,문수암 (산청),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
455,고하도이충무공유적,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
456,관촉사(논산),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595
457,정혜사(전주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
458,오봉산 석굴암,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
459,금용사(대구),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
460,규봉암(화순),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
461,희방사(영주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
462,흥륜사(인천),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
463,서암정사(함양),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
464,비암사(세종),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236
465,신흥사(완도),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
466,중흥사(광양),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
467,약천사(제주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
468,안국사(무주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
469,중명전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274
470,일붕사(의령),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256
471,법흥사(영월),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
472,?담양 송강정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
473,김룡사(문경),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134
474,목포근대역사관 2관,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
